name,nickname
Phil Cardella,Phil
Clayton Carpenter,Clayton
Ivan Salaverry,Ivan
Keisuke Fujiwara,Keisuke
Cody McKenzie,Cody
Tamdan McCrory,The Barncat
Liam McGeary,Liam
Jailton Almeida,Malhadinho
Doug Marshall,The Rhino
Mark Weir,The Wizard
Shane del Rosario,Shane
Juan Espino,El Guapo
Jason Lambert,The Punisher_1_2.00
Noad Lahat,Neo
Paddy Pimblett,The Baddy
Gabriel Miranda,Fly
Rob Kimmons,The Rosedale Reaper
Hermes Franca,Hermes
Cesar Arzamendia,Goku
Antonio Rodrigo Nogueira,Minotauro
Chris Lytle,Lights Out
Ramiz Brahimaj,Ramiz
Eugene Jackson,The Wolf_1_1.67
Joe Doerksen,El Dirte
Wes Sims,The Project
JP Buys,Young Savage
Brandon Royval,Raw Dawg
Nate Smith,The Savage
Mats Nilsson,Mats
Hideo Tokoro,Hideo
Jose Maria,No Chance
Yoshiki Takahashi,Kazuo
Ikram Aliskerov,Ikram
Mike Joy,Mike_5_1.38
Kimo Leopoldo,Kimo
Chas Skelly,The Scrapper
Ruan Potts,Fangzz
Mark Holst,Boots
Seth Petruzelli,The Silverback
Christian Morecraft,Christian
Niklas Backstrom,Niklas
Kaynan Kruschewsky,Bahia
Drew Fickett,The Master
Ryan Thomas,The Tank Engine
Ryan Hall,The Wizard_1_4.50
Dustin Kimura,The Diamond
Alex Gilpin,Alex_1_11.00
Josh Grispi,The Fluke
Anthony Torres,The Crush
Danny Henry,The Hatchet
Hidehiko Yoshida,Hidehiko
Joe Stevenson,Daddy
Everett Cummings,Everett
Jose Landi-Jons,Pele
Wilson Gouveia,Wilson
Chris Price,The Exorcist
Fredson Paixao,Fredson
Jake Hadley,White Kong
Chase Hooper,The Dream
Daniel Gracie,Daniel_2_1.25
Masakazu Imanari,Masakazu
Andrew Holbrook,Andrew
Mike Cook,Mike_6_1.00
Polyana Viana,Dama de Ferro
Logan Clark,Logan
Nate Loughran,Nate
Tim McKenzie,Tim_1_1.56
Mackens Semerzier,Da Menace
Dennis Hallman,Superman
Chris Brennan,The Westside Strangler
Josh Sampo,The Gremlin
Katsuhisa Fujii,Shamoji
Brooke Mayo,The Bully
Satoru Kitaoka,Satoru
Daermisi Zhawupasi,Daermisi
Jeremiah Metcalf,Jeremiah_1_1.86
Harry Hunsucker,The Hurricane
Charles Bennett,Krazy Horse
Kevin Syler,El Nino Bala
Mike Zichelle,Mike_7_2.00
Dave Galera,Scarecrow
Kaik Brito,Kaik
Josh Thornburg,Josh_1_1.00
Chad Reiner,The Grinder
Jacob Volkmann,Christmas
Brock Larson,Brock
Christian Lohsen,Hollywood
Brent Primus,Brent
Nick Serra,The Mad Monkey
Chris Holdsworth,Chris_1_6.00
David Mitchell,Daudi
John Halverson,The Hurricane_1_2.00
Sean Holden,Sean_1_2.50
Eric Wray,Eric_1_5.00
Kevin Haley,The North Woods Nightmare
Mariusz Ksiazkiewicz,The Iron Pol
Young Sam Jung,Young
Luis Rodriguez,Lazy Boy
Jarrod Kwitty,Jarrod
Jimmy Crute,Jimmy
Joe Lauzon,Joe
Tomoya Miyashita,Tomoya
Jack Cartwright,Jack
Jafel Filho,Pastor
Mark Scanlon,Mark_1_4.50
Eric Esch,Butterbean
Chris Tickle,BadBoy
Ivana Petrovic,Ivana
Kazuki Okubo,Kazuki
Abdul-Kerim Edilov,Abdul-Kerim
Eddy Ellis,Fast
Jason MacDonald,The Athlete
Micah Miller,Maverick
Allan Begosso,Mini
Yuma Horiuchi,Ichiban
John Gunderson,Quick Guns
Chris Haseman,The Hammer
Josh Smith,Josh_2_1.12
Martin Kampmann,The Hitman
Frank Mir,Frank
Mitch Gagnon,Mitch
Lucio Linhares,Lucio
Roger Gracie,Roger
Saidyokub Kakhramonov,Saidyokub
Mickey Gall,Mickey
Joe Soto,One Bad Mofo
Austin Vanderford,AK-47
Pat Sabatini,Pat
Jessamyn Duke,The Gun
Ryan Jensen,Ryan
Roman Mitichyan,Roman
Georgi Karakhanyan,Insane
Brad Mitchell,Brad
Ikuhisa Minowa,Minowaman
Joachim Hansen,Hellboy
Jordan Griffin,Native Psycho
Jon Delos Reyes,The Heat
Luke Stewart,Luke
Vagner Rocha,Ceara
Kyle Daukaus,Kyle_2_2.75
Fedor Emelianenko,The Last Emperor
Stephen Banaszak,Stephen
Rani Yahya,Rani
Erick Wanderlei,Erick
Shane Roller,Shane_1_1.57
Aleksei Oleinik,The Boa Constrictor
Ryan Quinn,Ryan_1_1.86
Keisuke Sasu,Sasuke
Don Shainis,Shameless
Dan Argueta,The Determined
Jeremy  Freitag,Jeremy_1_0.60
Raul Rosas Jr.,El Nino Problema
Rodolfo Marques Diniz,Rodolfo
Miguel Baeza,Caramel Thunder
Joe Proctor,Joe_1_2.20
Luc Bondole,Luc
Amanda Cooper,ABC
Juliana Miller,Killer_1_1.33
Louis Smolka,Da Last Samurai
Assuerio Silva,Assuerio
Johnny Munoz,Kid Kvenbo
Jake Rosholt,Jake
Sanae Kikuta,Sanae
Eric Schafer,Red
Dan Miller,Dan_1_1.75
Jim Miller,A-10
Jesus Aguilar,Jesus
Alex Serdyukov,The Russian Crusher
Brian Foster,The Foster Boy
Lee Murray,Lightning_1_4.00
Blas Avena,The Disciple_1_1.14
Joe Pyfer,Bodybagz
Sam Spengler,The Ram
Cole Miller,Magrinho
Casey Olson,The Underdog
Daniel Pineda,The Pit
Kendall Grove,Da Spyder
Danillo Villefort,Indio
Karlos Vemola,Karlos
Jose Palacios,Jose
Cristina Stanciu,Barbie
Tom Aspinall,Tom_1_4.67
Dean Hancock,The Hammer_1_2.00
Nassourdine Imavov,Nassourdine
Roman Dolidze,Roman_1_6.00
Brendan Allen,All In_1_4.60
