name,nickname
Jamie Varner,Jamie_1_1.91
Seth Baczynski,The Polish Pistola
Jonathan Pearce,JSP
Kenny Robertson,Kenny
Montserrat Conejo Ruiz,Montserrat
Khabib Nurmagomedov,The Eagle
Gary Goodridge,Big Daddy
Justin Buchholz,Justin_3_1.50
Malcolm Gordon,X
Achmed Labasanov,Achmed
Joseph Gigliotti,Capo
Liang Na,The Dragon Girl
Mike Stumpf,Mike_10_2.75
Aljamain Sterling,Funk Master
Kevin Randleman,The Monster_1_1.06
Rory Singer,Outburst
Darrion Caldwell,The Wolf_2_10.00
Alex Andrade,El Toro_2_2.00
Antonio Silva,Bigfoot
Nate Marquardt,The Great
Kevin Burns,The Fire
Vinny Magalhaes,Pezao
Frank Trigg,Twinkle Toes
Montana De La Rosa,Montana
Cynthia Calvillo,Cynthia
Brock Jardine,The Machine_1_2.00
Cameron Saaiman,MSP
Cat Zingano,Alpha
Trey Waters,The Truth_1_8.00
Sangwook Kim,Frogman
Efrain Escudero,Hecho En Mexico
John Allan,John_1_1.86
Royce Gracie,Royce
James Head,James_1_2.25
Jessica Rakoczy,The Ragin'
Kevin Lee,The Motown Phenom
Naoyuki Kotani,Naoyuki
Joseph Holmes,Uglyman Joe
Dashon Johnson,Flyboy
Domingo Pilarte,Son of Fire
Takanori Gomi,The Fireball Kid
TJ Dillashaw,TJ_1_3.60
Denise Gomes,Dee
Derrick Krantz,D-Rock
Mark Vorgeas,Mark_3_1.67
Gregor Gillespie,The Gift
Tim Boetsch,The Barbarian
Mike Kyle,MAK
Marion Reneau,The Belizean Bruiser
Justin Haskins,Justin_4_1.17
Kleydson Rodrigues,KR
Jenel Lausa,Jenel
Rachael Ostovich,Rachael
Zabit Magomedsharipov,Zabit
Kay Hansen,Kay
Jon Fitch,Jon
Felice Herrig,Lil Bulldog
Joey Gambino,The Raging Warrior
Kyung Ho Kang,Mr. Perfect
Benson Henderson,Smooth
Alexander Otsuka,The Diet Butcher
Chris Weidman,The All-American
Bryan Caraway,Kid Lightning
Amanda Ribas,Amanda_1_3.00
Reginaldo Vieira,Reginaldo
Tamires Vidal,Tractor_1_3.50
Antonio Carlos Junior,Cara de Sapato
Craig White,The Thundercat
Urijah Faber,The California Kid
Fabio Nascimento,Negao
Frank Gomez,Frank_2_1.67
Chad Anheliger,The Monster_2_1.71
Diego Sanchez,Nightmare
Chris Leben,The Crippler
Julianna Pena,The Venezuelan Vixen
Katsunori Kikuno,Katsunori
Wellington Turman,The Prodigy
Kyle Noke,Kyle_3_2.20
Kanako Murata,Kanako
Alistair Overeem,The Demolition Man
John Teixeira,Macapa
Tony Sims,Tony_1_3.00
Renato Moicano,Renato
Khama Worthy,The Death Star
Jack Shore,Tank
Felipe Arantes,Sertanejo
Claudia Gadelha,Claudinha
Joaquim Silva,Netto BJJ
Daiki Hata,DJ Taiki
George Sullivan,The Silencer_1_2.43
Ramazan Emeev,Gorets
Mitsuhiro Ishida,The Endless Warrior
Yair Rodriguez,El Pantera
Scott Jorgensen,Young Guns
Casey O'Neill,King
Ian Freeman,The Machine_2_2.86
Diego Saraiva,The Octopus
Alexis Davis,Alexis
Brian Camozzi,Mantis
Lucie Pudilova,Lucie
Ricardo Ramos,Ricardo_1_3.20
Matt Mitrione,Matt_4_2.40
Joe Duffy,Irish
Anderson Dos Santos,Berinja
Milton Vieira,Miltinho
David Kaplan,Diamond
Amanda Nunes,The Lioness
Robert Sanchez,Littlefury
Rich Franklin,Ace
Manvel Gamburyan,The Anvil
Don Madge,Magic Man
Brad Scott,Bear
Mandy Bohm,Monster
Michelle Waterson-Gomez,The Karate Hottie
Rafael Estevam,Macapa_1_12.00
Matt Sayles,Matt_5_2.00
Mauricio Rua,Shogun
Steven Peterson,Ocho
Amir Albazi,The Prince_1_17.00
Niklas Stolze,Green Mask
Darren Uyenoyama,BC
Drew McFedries,The Massacre
Niko Price,The Hybrid
Marcio Alexandre Junior,Lyoto
Olaf Alfonso,Olaf
Alex Caceres,Bruce Leeroy
Trevor Smith,Hot Sauce
Daniel Sarafian,Daniel_5_1.67
Heath Herring,The Texas Crazy Horse
Viviane Araujo,Vivi
Dustin Stoltzfus,Dustin
Francis Marshall,Fire_1_3.50
Phillipe Nover,The Filipino Assassin
Chris Heatherly,Stump
Rodrigo Nascimento,Ze Colmeia
Brandon Thatch,Rukus
William Gomis,Jaguar
Mike Russow,Mike_11_5.00
Buddy Roberts,Buddy
Drako Rodriguez,Drako
Vinicius Queiroz,Spartan
Tereza Bleda,Tereza
Forrest Griffin,Forrest
Don Frye,The Predator_1_2.22
Junior Assuncao,Junior
Reuben Duran,Reuben
Gray Maynard,Gray
James Vick,The Texecutioner
Brian Kelleher,Boom
Diego Ferreira,Diego_1_3.60
Alex Stiebling,The Brazilian Killa
Scott Askham,Scott_1_3.50
Kalindra Faria,Kalindra
Keith Jardine,The Dean of Mean
David Michaud,BullDawg
Luana Carolina,Dread
Travis Lutter,The Serial Killer
Anthony Smith,Lionheart
John Polakowski,Buckets of Blood
Vicente Luque,The Silent Assassin_1_2.44
David Baron,David_1_4.25
Ricardo Abreu,Demente
DaMarques Johnson,Darkness
Darrell Horcher,The Saint
Kyle Nelson,The Monster_3_3.00
Damien Brown,Beatdown
Tim Kennedy,Tim_3_3.00
Gustavo Lopez,Gustavo
Yoshiro Maeda,Yoshiro
Kenji Osawa,Kenji
Yves Edwards,Yves
Maryna Moroz,Iron Lady
Thiago Silva,Thiago_2_3.17
Brad Blackburn,Bad Brad
Yancy Medeiros,Yancy
Jameel Massouh,Jameel
Ian Heinisch,The Hurricane_4_2.80
Katsuyori Shibata,Katsuyori
Steve Cantwell,The Robot
Vanessa Demopoulos,Lil Monster
Jeff Monson,The Snowman
Guto Inocente,Guto
Leo Kuntz,The Lion
Devin Powell,Devin
Marcus LeVesseur,The Prospect
Vitor Belfort,The Phenom
Tito Ortiz,The People's Champ
Francisco Rivera,Cisco
Jarred Brooks,The Monkey God
Diego Nunes,The Gun_1_2.71
Joseph Benavidez,Joseph_1_3.50
Bryan Battle,Pooh Bear
Mike Lullo,Mike_12_2.67
Doug Evans,Doug
Chris Tuchscherer,The Crowbar
Yoshihisa Yamamoto,Yoshihisa
Jessica Penne,Jessica
Geane Herrera,La Pulga
Nick Aguirre,Slick
Julia Polastri,The Dragon
Joe Riggs,Diesel
Kazuyuki Fujita,Ironhead
Jonathan Goulet,The Road Warrior
Ebenezer Fontes Braga,Pitbull_1_1.86
Luigi Vendramini,The Italian Stallion
Jeka Saragih,Jeka
Clay Guida,The Carpenter
Chepe Mariscal,Machine Gun
Phil Davis,Mr. Wonderful
Kalib Starnes,Kalib
Kazuhiro Nakamura,Kaz
Phillip Miller,Phillip
Edgar Garcia,Edgar
Kuniyoshi Hironaka,Kuniyoshi
Raquel Pennington,Rocky
Kyler Phillips,The Matrix
Chan Sung Jung,The Korean Zombie
Crosley Gracie,Crosley
Igor Araujo,Igor_1_2.78
Shanna Young,The Shanimal
Kailin Curran,Kailin
Mark Munoz,The Filipino Wrecking Machine
Derek Brunson,The One_1_2.56
Michel Prazeres,Tractor_2_6.50
TJ Grant,TJ_2_4.20
Ashley Yoder,SpiderMonkey
Jake Collier,The Prototype
Aspen Ladd,Aspen
Patricio Freire,Pitbull_2_6.50
Payton Talbott,Payton
John Lineker,Hands of Stone
Philip De Fries,Philip_1_2.00
Davi Ramos,Tasmanian Devil
Edmen Shahbazyan,The Golden Boy
Brian Rogers,The Professional Predator
Victor Henry,La Mangosta
Fernie Garcia,Fernie
Brendan O'Reilly,Badger
Dong Hyun Kim,Stun Gun
Edwin Figueroa,El Feroz
Damian Stasiak,Webster
Julian Erosa,Juicy J
Hiromitsu Miura,Hiromitsu
Stevie Ray,Braveheart
Wanderlei Silva,The Axe Murderer
Rose Namajunas,Thug
Mike Swick,Quick
Dhiego Lima,Dhiego
Jake Matthews,The Celtic Kid
Andrea Lee,KGB
Jose Quinonez,Teco
Diego Brandao,DB
Ketlen Vieira,Fenomeno
Ivan Jorge,Batman_1_3.86
Lavar Johnson,Big
Ken Stone,Ken_1_2.75
Francis Carmont,Limitless
Lukasz Brzeski,The Bull
Hatsu Hioki,Hatsu
Zak Cummings,Zak
Albert Duraev,Albert
Melquizael Costa,Melk Cauthy
Arlene Blencowe,Angerfist
Kevin Jordan,The Shaman
Johil de Oliveira,Johil
Fabio Maldonado,Caipira de Aco
Sumudaerji,The Tibetan Eagle
Henry Briones,Bure
Rafael Dos Anjos,Rafael_1_2.13
Alex Oliveira,Cowboy_1_1.83
Wilson Reis,Wilson_1_2.30
Alexa Grasso,Alexa
Jose Johnson,Lobo Solitario
Michel Pereira,Demolidor
Aaron Phillips,The Dragon_1_2.40
Luan Lacerda,Luan
Mac Danzig,Mac
Bibiano Fernandes,Bibiano
Jussier Formiga,Jussier
Mike Brown,Mike_13_2.89
Jacob Rosales,The Lil Badger
Lisa Ellis,Lisa
Kazuo Misaki,Hitman_1_2.27
Anthony Johnson,Rumble
Sage Northcutt,Super_1_5.50
Martin Day,The Spartan
Mana Martinez,ManaBoi
Taylor Lapilus,Double Impact
Eddie Alvarez,Eddie
Tom DeBlass,Tom_3_4.50
Pearl Gonzalez,Pearl
Mike Rhodes,Biggie
Randy Couture,The Natural_1_1.73
Gilbert Burns,Durinho
Parker Porter,Parker
Randy Brown,Rudeboy
Alex White,The Spartan_1_2.17
Tainara Lisboa,Thai Panther
Anthony Birchak,El Toro_3_2.00
Oli Thompson,Oli
Gregory Rodrigues,Robocop
Olivier Aubin-Mercier,The Canadian Gangster
Rodolfo Bellato,Trator
Marcel Fortuna,Marcel
Scott Smith,Hands of Steel
Motonobu Tezuka,Motonobu
Felipe Colares,Cabocao
Pedro Munhoz,The Young Punisher
Esteban Ribovics,El Gringo
Phil Baroni,The New York Bad Ass
Justin Scoggins,Justin_5_2.20
Cory McKenna,Poppins
Clay Collard,Cassius
Jorge Gurgel,Jorge
Marcos Rogerio de Lima,Pezao_1_2.10
Molly McCann,Meatball
BJ Penn,The Prodigy_1_1.14
Danny Downes,Danny
Paul Taylor,Relentless_1_1.83
Gadzhi Omargadzhiev,Gadzhi
Brandon Moreno,The Assassin Baby
Vince Cachero,The Anomaly
Dongi Yang,The Ox
Hitomi Akano,Girlfight Monster
Megan Anderson,Megan
Jacob Malkoun,Mamba
Hacran Dias,Barnabe
Shungo Oyama,Shungo
Jarno Errens,Jarno
Brock Lesnar,Brock_1_1.67
Michael Trizano,The Lone Wolf
Emily Whitmire,Spitfire
Antonio Braga Neto,Antonio
Zarrukh Adashev,The Lion_1_1.00
Sammy Morgan,The Squeeze
Bernardo Magalhaes,Trekko
Caol Uno,Uno Shoten
Matthew Riddle,Deep Waters
Shuya Kamikubo,Stealth
Charles Jourdain,Air_1_2.50
Leonard Garcia,Bad Boy
Igor Vovchanchyn,Ice Cold
Gabriel Silva,Gabriel
SangHoon Yoo,Assassin
Kevin Croom,Crash
Matt Grice,The Real One
Caio Borralho,The Natural_2_15.00
Karl Roberson,Baby K
Spike Carlyle,Alpha Ginger
Tom Niinimaki,Stoneface
Nick Pace,Nick_3_2.67
John Salter,John_2_4.67
Rafael Rebello,Rafinha
Chris Camozzi,Chris_7_1.85
Bart Palaszewski,Bartimus
Sean Woodson,The Sniper
Nobuhiro Obiya,Nobuhiro
Ciryl Gane,Bon Gamin
Miranda Maverick,Fear The
Lucas Martins,Mineiro
Renan Barao,The Baron
Hernani Perpetuo,Hernani
James Zikic,The Messenger
Mario Sousa,Coracao Valente
Yuki Kondo,Yuki
Jacob Kilburn,The Killer
Talita Bernardo,Talita
Yoshihiro Nakao,Kiss
Maria Silva,Viuva Negra
Nick Catone,The Jersey Devil
Julio Paulino,The Dominican Demon
Roger Huerta,El Matador_1_2.56
Saad Awad,Assassin_1_2.22
Yushin Okami,Thunder
Natan Levy,Lethal
Humberto Bandenay,Humberto
Peter Sobotta,Peter
Louis Cosce,Louis
Marcelo Golm,Marcelo
Francisco Trinaldo,Massaranduba
Emmanuel Sanchez,El Matador_2_5.00
Tae Hyun Bang,Supernatural
Hector Lombard,Hector
Charlie Valencia,Charlie_1_1.71
Demetrious Johnson,Mighty Mouse
Jon Jones,Bones
Fernando Bruno,Acougueiro
Marvin Vettori,The Italian Dream
Aaron Simpson,A-Train
Alex Nicholson,The Spartan_2_1.75
Ovince Saint Preux,Ovince
Jessica Eye,Evil
Sean O'Connell,The Real OC
Tetsuji Kato,Tetsuji
Nina Nunes,Nina
Bojan Velickovic,Serbian Steel
Jesse Ronson,The Body Snatcher_1_1.75
James Irvin,The Sandman_3_1.70
Ronys Torres,Ronys
Justin Jones,Black Dynamite
Wallid Ismail,Wallid
Danyelle Wolf,Danyelle
Mick Parkin,Mick
Kron Gracie,Kron
Reza Madadi,Mad Dog
Tony Fryklund,The Freak
Kevin Holland,Trailblazer
Nathaniel Wood,The Prospect_1_3.33
Gloria de Paula,Glorinha
Dan Cramer,Dan_3_2.75
Akihiro Gono,Akihiro
Rafael Natal,Sapo
Tyler Stinson,The Evolution
Cezar Ferreira,Mutante
Hiroshi Izumi,Hiroshi
Marcos Vinicius,Vina
Patrick Williams,The Animal_1_1.33
Yohan Lainesse,White Lion
Rin Nakai,Rin
Serghei Spivac,Polar Bear
Cortney Casey,Cast Iron
Sara McMann,Sara
Hector Ramirez,Sick Dog
Ronny Markes,Ronny
Jeff Joslin,The Inferno
Stefan Sekulic,Stefan
Sedriques Dumas,The Reaper
Josh Culibao,Kuya
Cathal Pendred,The Punisher_3_4.25
Anshul Jubli,King of Lions
Tsuyoshi Kohsaka,TK
Daijiro Matsui,Daijiro
Steve Garcia,Mean Machine
Francisco Figueiredo,Sniper
Shane Burgos,Hurricane
Jimi Manuwa,Poster Boy
Cody Durden,Cody_2_4.00
Estevan Payan,El Terrible
Andrei Semenov,Andrei
Brendan Schaub,Big Brown
Iasmin Lucindo,Iasmin
Mirsad Bektic,Mirsad
Evangelista Santos,Cyborg
Christos Giagos,The Spartan_3_1.82
Sarah Alpar,Too Sweet
Hu Yaozong,Totoro
Manel Kape,StarBoy
Wagnney Fabiano,The Silencer_2_4.00
Willie Gates,Willie
Andrews Nakahara,Andrews
Roque Martinez,Roque
Daniel Cormier,DC
Casey Kenney,Casey
Hirotaka Yokoi,Kaibatsu-Kun
Alexander Gustafsson,The Mauler
Antonio Banuelos,Antonio_1_1.82
Rodrigo Gracie,Rodrigo
Kevin Casey,King_1_1.80
Chael Sonnen,Chael
Sergio Pettis,Sergio
Dylan Andrews,The Villain
Josh Samman,Anqa
Bec Rawlings,Rowdy_1_0.88
Luke Barnatt,The Bigslow
John Cholish,John_3_2.67
Benji Radach,Razor
Rory MacDonald,Red King
Evan Elder,The Phenom_1_4.00
Ryan Bader,Darth
Chico Camus,The King_1_2.43
Rob Emerson,The Saint_1_1.50
Magomed Mustafaev,The Sniper_1_3.50
Sergio Moraes,The Panther
Johnny Eduardo,Johnny_2_2.15
Abel Trujillo,Killa
Aleksandra Albu,Stitch
Mads Burnell,Mads
Kazula Vargas,Kazula
Dominick Reyes,The Devastator
John Marsh,John_4_1.14
Brad Pickett,One Punch
Genaro Valdez,Rayadito
Lyoto Machida,The Dragon_2_3.00
Michael Graves,Michael_1_6.00
Paul Buentello,The Headhunter
Maurice Greene,The Crochet Boss
Jeremy Stephens,Lil' Heathen
Antonio Schembri,Nino
Ricky Simon,Ricky
Mark Kerr,The Smashing Machine
Hiromitsu Kanehara,Hiromitsu_1_0.70
Vik Grujic,The Spartan_4_1.00
Joby Sanchez,Joby
Leandro Silva,Buscape_1_3.33
Raoni Barcelos,Raoni
Court McGee,The Crusher
Antonina Shevchenko,La Pantera
Adriano Martins,Adriano
Leonardo Mafra,Macarrao
Anton Kuivanen,Anton
William Knight,Knightmare
Brok Weaver,Chata Tuska
Julio Arce,Julio
Askar Askarov,Bullet
Mitch Clarke,Danger Zone
Adam Wieczorek,Siwy
Dan Hardy,The Outlaw_1_2.50
Cain Velasquez,Cain
Mike Grundy,Mike_14_3.00
Wulijiburen,Beast Master
Phil Rowe,The Fresh Prince
Farid Basharat,Ferocious
Tyler Toner,Tyler
Jessica Andrade,Bate Estaca
Sean Sherk,The Muscle Shark
Ryan Benoit,Baby Face
Akbarh Arreola,El Caballero
Zak Ottow,The Barbarian_1_2.43
Angela Magana,Your Majesty
Valentina Shevchenko,Bullet_1_5.75
Tomasz Drwal,Gorilla
Akira Shoji,Akira
Sean O'Malley,Sugar_1_17.00
Guido Cannetti,Ninja_2_1.25
Muhsin Corbbrey,Muhsin
Josh Koscheck,Josh_5_1.55
Jake Ellenberger,The Juggernaut_1_2.07
Ben Rothwell,Ben
Alex Pereira,Poatan
Ignacio Bahamondes,La Jaula
Veronica Hardy,Veronica
Tyron Woodley,The Chosen One
Steve Bruno,Hollywood_1_2.50
Jordan Wright,The Beverly Hills Ninja
Elizeu Zaleski dos Santos,Capoeira
Piotr Hallmann,Pletwal
Jack Hermansson,The Joker_2_2.88
Germaine de Randamie,The Iron Lady
John Howard,Doomsday
Nicco Montano,Nicco
Paulo Cesar Silva,Giant
Dan Moret,The Hitman_3_2.17
Ricky Glenn,The Gladiator_1_2.75
Sodiq Yusuff,Super_2_4.33
Cub Swanson,Cub
Zhang Weili,Magnum
Cristiane Justino,Cyborg_1_10.50
Sean Pierson,The Punisher_4_2.33
Dan Hooker,The Hangman
Aaron Rosa,Aaron
Mike Whitehead,Mike_15_3.38
Yosdenis Cedeno,Pink Panther
Chris Kelades,The Greek Assassin
Leon Edwards,Rocky_1_7.00
Montel Jackson,Quik
Jack Della Maddalena,Jack_1_8.00
Will Brooks,Ill
Rafa Garcia,Gifted
Mallory Martin,Mallory
Irene Aldana,Irene
Dennis Buzukja,The Great_1_2.00
Merab Dvalishvili,The Machine_3_4.00
Lara Procopio,Lara
Jens Pulver,Little Evil
Maximo Blanco,Maxi
Mirko Filipovic,Cro Cop
Jinh Yu Frey,Jinh
Dan Henderson,Hendo
Ryo Chonan,Piranah
Alonzo Menifield,Atomic
Luiz Azeredo,Luiz
Nate Maness,Mayhem_1_5.00
Bobby Green,King_2_2.07
Bruno Silva,Bulldog
Akiyo Nishiura,Wicky Akiyo
Ariane Lipski,Queen of Violence
Keith Wisniewski,The Polish Connection
Melissa Gatto,Melissa
Carlos Ulberg,Black Jag
Yui Chul Nam,The Korean Bulldozer
Rob Font,Rob
Liz Carmouche,Girlrilla
Constantinos Philippou,Constantinos
Cung Le,Cung
Lyle Beerbohm,Fancy Pants
Myles Jury,Fury
Joshua Burkman,The People's Warrior
Ali Bagautinov,Puncher
Ilir Latifi,The Sledgehammer
Katlyn Chookagian,Blonde Fighter
Francis Ngannou,The Predator_2_5.67
Tristan Connelly,Boondock
Journey Newson,Journey
Ariane Carnelossi,Sorriso
Thibault Gouti,GT
Marlon Moraes,Magic
Kiichi Kunimoto,Strasser
Luana Pinheiro,Luana
Jessica-Rose Clark,Jessica-Rose
AJ Dobson,AJ
Chidi Njokuani,Bang Bang
Jonathan Brookins,Jonathan
Jiri Prochazka,Jiri
Kennedy Nzechukwu,African Savage
Luiz Cane,Banha
Lando Vannata,Groovy
Kenichi Yamamoto,Kenichi
Tor Troeng,The Hammer_4_2.29
David Onama,David_2_5.50
Hayato Sakurai,Mach
Chris Clements,The Menace_1_2.00
Siyar Bahadurzada,The Great_2_3.00
Valerie Letourneau,Trouble
Bryan Barberena,Bam Bam_1_1.64
Guangyou Ning,Smasher
Timur Valiev,Lucky
Alejandro Perez,Turbo
Arnold Allen,Almighty
Macy Chiasson,Macy
Khadis Ibragimov,Khadis
Chad Mendes,Money
Rodrigo Damm,Rodrigo_1_1.44
Cody Gibson,The Renegade
Yuri Villefort,Yuri
Max Holloway,Blessed
Jorge Masvidal,Gamebred
Alex Morono,The Great White
Alan Patrick,Nuguette
Jim Alers,The Beast_2_4.33
Matt Bessette,The Mangler
Alan Jouban,Brahma
Tony Gravely,Tony_2_2.56
Viscardi Andrade,Viscardi
Daniel Kelly,Daniel_6_3.25
Chance Rencountre,Black Eagle
Kai Kamaka,The Fighting Hawaiian
Sijara Eubanks,SarJ
Glaico Franca Moreira,Nego
Devonte Smith,King Kage
Luan Chagas,Tarzan
Jesse Lennox,The Ox_1_3.50
Syuri Kondo,Syuri
Brady Hiestand,Brady_1_4.00
Ode Osbourne,The Jamaican Sensation
Zach Makovsky,Fun Size
Brian Stann,All American
Johny Hendricks,Bigg Rigg
Thiago Alves,Pitbull_3_1.53
Waylon Lowe,Waylon
Gabe Green,Gifted_1_2.20
Keita Nakamura,K-Taro
Joselyne Edwards,La Pantera_1_2.60
Daniel Zellhuber,Golden Boy
Heather Clark,Hurricane_1_1.17
Amar Suloev,Amar
Pete Spratt,The Secret Weapon
John Franchi,John_5_3.00
Tiago dos Santos e Silva,Trator_1_2.86
Rinat Fakhretdinov,Gladiator
Frankie Edgar,The Answer
Martin Buday,Badys
Conor Heun,Hurricane_2_1.80
Hannah Cifers,Shockwave
Jan Blachowicz,Jan
Ian Loveland,The Barn Owl
Carlos Candelario,The Cannon
Max Griffin,Pain
Neil Magny,The Haitian Sensation
Nazim Sadykhov,Black Wolf_1_9.00
Cory Sandhagen,Cory
Trevin Giles,Trevin
Frankie Perez,Frankie
Dan Ige,50K
Nah-Shon Burrell,The Rock n Rolla
Alex Da Silva,Leko
Bruno Santos,Carioca
Andre Fili,Touchy
Carlos Hernandez,Carlos
Julia Avila,Raging Panda
Tracy Cortez,Tracy
Deividas Taurosevicius,Deividas
Enrique Barzola,El Fuerte
Nick Ring,The Promise
Amir Sadollah,Amir
Carla Esparza,Cookie Monster
Joanne Wood,JoJo
Benito Lopez,Golden Boy_1_5.00
Daniel Teymur,Kid Dynamite_1_1.75
Dennis Siver,Dennis
Jessin Ayari,Jessin
Michael Bisping,The Count
Movsar Evloev,Movsar
Gilbert Melendez,El Nino
Mike Davis,Beast Boy
Henrique da Silva,Frankenstein
Will Campuzano,Will_2_2.33
Vitor Miranda,Lex Luthor
Khalid Taha,The Warrior_3_2.60
Manny Tapia,The Mangler_1_0.86
Nam Phan,Nam
Gina Mazany,Danger_1_1.17
Omari Akhmedov,Wolverine_1_3.50
Mike Perry,Platinum
Douglas Silva de Andrade,D Silva
Paul Felder,The Irish Dragon
Trevin Jones,5 Star
Hyun Gyu Lim,The Ace
LC Davis,LC
Nicholas Musoke,Nico
Eric Shelton,Showtime_2_2.00
Mara Romero Borella,Mara
Nick Maximov,Nick_4_4.00
Danielle Taylor,Dynamite_1_2.25
Andrei Arlovski,The Pitbull
Chris Beal,Real Deal
Hannah Goldy,24K
Danny Castillo,Last Call
Karolina Kowalkiewicz,Karolina
Michinori Tanaka,Michinori
Randa Markos,Quiet Storm
Jared Gooden,NiteTrain
Makhmud Muradov,Makhmud
Seo Hee Ham,Seo
Richard Walsh,Filthy Rich
Ismail Naurdiev,The Austrian Wonderboy
Mark Hunt,Super Samoan
Charles Johnson,InnerG
Scott Holtzman,Hot Sauce_1_2.33
Felicia Spencer,FeeNom
Giga Chikadze,Ninja_3_5.00
Colby Covington,Chaos
Melvin Guillard,The Young Assassin
Aleksandar Rakic,Aleksandar
Tim Means,The Dirty Bird
Zhalgas Zhumagulov,Zhalgas
Tucker Lutz,Top Gun
Impa Kasanganay,Tshilobo
Mike Pierce,Mike_16_2.43
CJ Vergara,CJ
Luke Sanders,Cool Hand
David Dvorak,Undertaker
Javid Basharat,The Snow Leopard
Tabatha Ricci,Baby Shark
Kajan Johnson,Ragin'
Danny Roberts,Hot Chocolate
Daron Cruickshank,Detroit Superstar
Ange Loosa,The Last Ninja
Al Iaquinta,Raging
Billy Evangelista,Billy_2_4.33
Anthony Njokuani,The Assassin_1_1.33
Henry Cejudo,Triple C
Elias Silverio,Xuxu
Pat Barry,HD
Jordan Espinosa,The Gamer
Jake O'Brien,Irish_1_3.75
Jessica Aguilar,Jag
Cheyanne Vlismas,The Warrior Princess
James Moontasri,Moon Walker
Raphael Assuncao,Raphael
Wu Yanan,Mulan
Erik Perez,Goyito
Davey Grant,Dangerous
Mark De La Rosa,Bumblebee
Sabina Mazo,Colombian Queen
Rashid Magomedov,Highlander
Antonio Arroyo,Antonio_2_1.80
Kiyoshi Tamura,Kiyoshi
Justin Ledet,El Blanco
Josh Parisian,Josh_6_2.14
Vinc Pichel,From Hell
James Te Huna,James_2_1.78
John Castaneda,Sexy Mexi
Belal Muhammad,Remember the Name
Leonardo Santos,Leonardo
Luis Saldana,Luis
Andre Soukhamthath,The Asian Sensation
Travis Browne,Hapa
Marina Rodriguez,Marina
Cyrille Diabate,The Snake
Abdul Razak Alhassan,Abdul
Elizabeth Phillips,Elizabeth
Alexander Volkanovski,The Great_3_8.67
Damir Hadzovic,The Bosnian Bomber
Johnny Case,Hollywood_2_3.67
Loma Lookboonmee,Loma
Cheick Kongo,Cheick
Raulian Paiva,Raulian
Brandon Vera,The Truth_2_2.14
Song Yadong,Kung Fu Kid
Marco Beltran,Psycho
Sean Strickland,Sean_3_5.60
Patrick Cote,The Predator_3_2.09
Austin Arnett,Austin_1_2.67
Ricky Turcios,Ricky_1_4.33
Phil Hawes,No Hype
Jordan Mein,Young Gun
Ryan LaFlare,Ryan_4_4.67
Ronnie Lawrence,The Heat_2_4.00
Albert Morales,The Warrior_4_1.75
Viviane Pereira,Sucuri
Mateusz Gamrot,Gamer
Da Woon Jung,Sseda
Jamall Emmers,Pretty Boy_2_2.86
Alexander Volkov,Drago_1_3.70
Igor Pokrajac,The Duke
Eryk Anders,Ya Boi
Sam Stout,Hands of Stone_1_1.67
George Roop,George_1_1.15
Alex Garcia,The Dominican Nightmare
Matthew Semelsberger,Semi The Jedi
Aaron Riley,Aaron_1_2.14
Mizuto Hirota,Pugnus
Tecia Torres,The Tiny Tornado
Marcin Tybura,Tybur
Rustam Khabilov,Tiger
Duane Ludwig,Bang
Frankie Saenz,Frankie_1_1.86
Daniel Rodriguez,D-Rod
Lorenz Larkin,The Monsoon
Blagoy Ivanov,Baga
Eddie Wineland,Eddie_1_1.50
Justine Kish,Justine
Brian Ebersole,Bad Boy_1_2.83
Patrick Cummins,Durkin
Holly Holm,The Preacher's Daughter
Israel Adesanya,The Last Stylebender
Uriah Hall,Prime Time
Kelvin Gastelum,Kelvin
Maycee Barber,The Future
Roxanne Modafferi,The Happy Warrior
Jimmie Rivera,El Terror
Yana Santos,Yana
Dominick Cruz,The Dominator
Jamie Mullarkey,Jamie_2_2.83
Lauren Murphy,Lucky_1_2.67
Jorge Rivera,El Conquistador
Jonathan Martinez,Dragon_1_4.75
Volkan Oezdemir,No Time
Marc-Andre Barriault,Powerbar
Jared Rosholt,Jared
Daniel Omielanczuk,Daniel_7_2.38
Thiago Santos,Marreta
Pannie Kianzad,Banzai
Calvin Kattar,Calvin
Shamil Abdurakhimov,Abrek
Josh Emmett,CC0
Rafael Cavalcante,Feijao
Dustin Ortiz,Dustin_1_2.38
Drew Dober,Drew
Alexander Hernandez,The Great Ape
Takeya Mizugaki,Takeya
Jose Aldo,Jose_1_3.88
Darren Stewart,The Dentist_1_1.50
Walt Harris,The Big Ticket
Alexander Yakovlev,Russian Thunder
Lina Lansberg,Elbow Queen
Ji Yeon Kim,Firefist
Andre Ewell,Mr. Highlight
Tarec Saffiedine,Sponge
Shawn Jordan,The Savage_2_2.38
Chris Gutierrez,El Guapo_1_4.00
Devin Clark,Brown Bear
Yves Jabouin,Tiger_1_1.82
Brandon Davis,Killer B
Nicolas Dalby,Danish Dynamite
Petr Yan,No Mercy
Bill Algeo,Senor Perfecto
David Loiseau,The Crow
Edson Barboza,Junior_1_2.18
Roy Nelson,Big Country
Conor McGregor,The Notorious
Geoff Neal,Handz of Steel
Khalil Rountree Jr.,Khalil
Junior Dos Santos,Cigano
